Year,AnnualPDSI
1,-0.244166667
2,0.1375
3,-1.363333333
4,-1.384166667
5,-1.455
6,1.839166667
7,-0.638333333
8,-0.2025
9,0.249166667
10,-0.111666667
11,-0.189166667
12,2.264166667
13,2.416666667
14,2.940833333
15,1.891666667
16,1.006666667
17,2.264166667
18,1.484166667
19,0.064166667
20,0.433333333
21,1.0475
22,-0.663333333
23,0.3775
24,1.188333333
25,1.5925
26,-0.8625
27,0.165
28,0.070833333
29,-0.405
30,0.205833333
31,1.32
32,2.225
33,-0.6425
34,0.795833333
35,1.735833333
36,3.7425
37,4.2575
38,-0.204166667
39,-0.3075
40,-0.541666667
41,-0.729166667
42,-0.78
43,-2.14
44,-1.765
45,-0.83
46,-1.181666667
47,0.010833333
48,-1.300833333
49,-2.515833333
50,-0.9275
51,-0.4025
52,0.46
53,-1.119166667
54,0.2625
55,-0.340833333
56,1.983333333
57,2.3875
58,-0.024166667
59,0.5325
60,-1.768333333
61,-2.186666667
62,-0.206666667
63,-1.806666667
64,-3.305833333
65,1.178333333
66,0.453333333
67,0.1975
68,-0.884166667
69,-0.855
70,0.480833333
71,-0.805
72,-2.690833333
73,-1.841666667
74,-1.231666667
75,-1.593333333
76,-1.591666667
77,-1.27
78,-1.721666667
79,0.383333333
80,0.569166667
81,-0.455833333
82,-1.5
83,-1.105
84,-0.929166667
85,2.0425
86,-1.555
87,-2.221666667
88,1.286666667
89,-1.258333333
90,-1.300833333
91,2.735
92,2.735
93,2.735
94,2.735
95,2.735
96,2.735
97,2.735
98,2.735
99,2.735
100,2.735
