Year,Month,PDSI
2003,7,0.7
2003,8,-0.91
2003,9,-1.06
2003,10,-1.85
2003,11,-2
2003,12,-2.23
2004,1,-2.13
2004,2,-2
2004,3,-1.6
2004,4,-1.88
2004,5,0.91
2004,6,0.06
2004,7,0.32
2004,8,0.04
2004,9,1.87
2004,10,2.17
2004,11,1.41
2004,12,1.5
2005,1,2.12
2005,2,-0.04
2005,3,-0.46
2005,4,-1
2005,5,0.81
2005,6,1.57
2005,7,-0.86
2005,8,-1.19
2005,9,-1.24
2005,10,0.18
2005,11,1.38
2005,12,1.43
2006,1,-0.29
2006,2,0.1
2006,3,0.29
2006,4,-0.54
2006,5,-0.51
2006,6,-1.5
2006,7,-2.91
2006,8,-3.38
2006,9,-2.93
2006,10,-3.09
2006,11,-3.18
2006,12,-2.71
2007,1,-2.89
2007,2,-2.43
2007,3,-1.72
2007,4,-1.27
2007,5,-1.43
2007,6,-2.18
2007,7,-3.11
2007,8,-3.75
2007,9,0.79
2007,10,1.57
2007,11,-0.53
2007,12,-0.03
2008,1,-0.51
2008,2,-0.71
2008,3,-1.26
2008,4,1.22
2008,5,0.88
2008,6,1.32
2008,7,-0.19
2008,8,-1.24
2008,9,0.42
2008,10,1.13
2008,11,1.19
2008,12,1.81
2009,1,1.51
2009,2,1.87
2009,3,3.51
2009,4,-0.37
2009,5,-0.89
2009,6,-1.23
2009,7,-1.27
2009,8,-1.23
2009,9,-2.47
2009,10,-0.97
2009,11,-1.11
2009,12,-0.56
2010,1,-0.27
2010,2,-0.3
2010,3,-0.35
2010,4,-0.33
2010,5,0.12
2010,6,0.1
2010,7,0.37
2010,8,1.57
2010,9,4.19
2010,10,4.46
2010,11,3.86
2010,12,3.45
2011,1,3.22
2011,2,2.92
2011,3,3.28
2011,4,2.63
2011,5,3.94
2011,6,3.43
2011,7,4.52
2011,8,4.46
2011,9,4.69
2011,10,4.66
2011,11,4.79
2011,12,4.12
2012,1,3.42
2012,2,2.88
2012,3,2.46
2012,4,3.55
2012,5,3
2012,6,2.57
2012,7,2.2
2012,8,1.58
2012,9,1.29
2012,10,0.74
2012,11,1.24
2012,12,1.08
2013,1,1.48
2013,2,1.39
2013,3,2.46
2013,4,3.29
2013,5,2.81
2013,6,2.43
2013,7,3.72
2013,8,4.41
2013,9,4.36
2013,10,4.66
2013,11,4.15
2013,12,3.57
2014,1,3.07
2014,2,2.67
2014,3,2.09
2014,4,1.28
2014,5,1.32
2014,6,1.8
2014,7,2.43
2014,8,3.05
2014,9,3.94
2014,10,4.25
2014,11,3.93
2014,12,3.25
2015,1,3.2
2015,2,3.5
2015,3,3.61
2015,4,4.42
2015,5,4.38
2015,6,4.79
2015,7,5.83
2015,8,5.77
2015,9,5.33
2015,10,4.71
2015,11,4.08
2015,12,3.63
2016,1,3.24
2016,2,2.8
2016,3,2.33
2016,4,1.96
2016,5,1.73
2016,6,2.36
2016,7,3.07
2016,8,3.03
2016,9,3.06
2016,10,4.05
2016,11,-0.51
2016,12,0.18
2017,1,0.61
2017,2,0.26
2017,3,0.22
2017,4,0.54
2017,5,-0.5
2017,6,-0.72
2017,7,-1.34
2017,8,0.42
2017,9,1.26
2017,10,1.17
2017,11,2.51
2017,12,2.04
2018,1,2.03
2018,2,1.4
2018,3,1.09
2018,4,0.95
2018,5,1.66
2018,6,2.24
2018,7,3.31
2018,8,3.76
2018,9,4.45
2018,10,3.51
2018,11,2.98
2018,12,2.88
2019,1,2.73
2019,2,2.16
2019,3,2.74
2019,4,2.73
2019,5,2.44
2019,6,5.26
2019,7,4.95
2019,8,4.62
2019,9,4.6
2019,10,4.74
2019,11,4.95
2019,12,4.67
2020,1,3.89
2020,2,3.65
2020,3,3.29
2020,4,2.77
2020,5,3.59
2020,6,4.09
2020,7,5.05
2020,8,5.77
2020,9,4.93
2020,10,4.2
2020,11,3.17
2020,12,2.35
2021,1,2.21
2021,2,1.64
2021,3,1.16
2021,4,1.06
2021,5,1.02
2021,6,2.38
2021,7,3.2
2021,8,3.07
2021,9,-0.55
2021,10,-1.11
2021,11,-0.76
2021,12,-0.86
2022,1,-0.89
2022,2,-1.17
2022,3,0.2
2022,4,0.54
2022,5,0.23
2022,6,1.6
2022,7,1.86
2022,8,2.72
2022,9,2.7
2022,10,3.67
2022,11,3.87
2022,12,3.39
2023,1,2.83
2023,2,2.92
2023,3,3.14
2023,4,-0.85
2023,5,-1.68
2023,6,-2.16
2023,7,1.23
2023,8,2.23
2023,9,2.9
2023,10,2.03
2023,11,2.65
2023,12,-0.18
2024,1,-0.45
2024,2,-0.63
2024,3,-0.17
2024,4,-0.1
2024,5,-0.66
2024,6,-1.12
2024,7,-1.52
2024,8,-1.84
2024,9,-1.74
2024,10,-1.61
2024,11,-1.43
2024,12,-1.56
2025,1,-1.77
2025,2,-1.67
2025,3,0.06
2025,4,0.66
2025,5,-0.66
2025,6,-0.73
2025,7,2.24
2025,8,3
2025,9,2.36
2025,10,1.44
2025,11,1.49
2025,12,1.48
2026,1,1.09
2026,2,0.88
2026,3,1.14
2026,4,1.89
2026,5,1.58
2026,6,2.91
2026,7,3.97
2026,8,4.65
2026,9,3.82
2026,10,2.87
2026,11,1.98
2026,12,1.84
2027,1,1.27
2027,2,1.22
2027,3,1.33
2027,4,0.84
2027,5,1.09
2027,6,2.39
2027,7,2.33
2027,8,2.17
2027,9,1.97
2027,10,2.8
2027,11,2.32
2027,12,2.64
2028,1,2.46
2028,2,2.5
2028,3,-0.26
2028,4,-0.56
2028,5,-1.2
2028,6,-1.44
2028,7,-1.58
2028,8,-1.61
2028,9,0.13
2028,10,0.44
2028,11,0.29
2028,12,0.19
2029,1,0.36
2029,2,0.93
2029,3,1.65
2029,4,1.88
2029,5,2.02
2029,6,1.81
2029,7,1.79
2029,8,0.86
2029,9,1.18
2029,10,1.35
2029,11,2.66
2029,12,2.73
2030,1,2.71
2030,2,3
2030,3,3.03
2030,4,-0.75
2030,5,-0.85
2030,6,-2.08
2030,7,0.3
2030,8,1.18
2030,9,1.24
2030,10,-1.01
2030,11,-0.74
2030,12,-0.68
2031,1,-0.8
2031,2,-0.69
2031,3,-1.05
2031,4,-1.59
2031,5,0.98
2031,6,1.37
2031,7,1.31
2031,8,1.86
2031,9,2.32
2031,10,2.73
2031,11,2.41
2031,12,1.98
2032,1,1.49
2032,2,1.9
2032,3,2.34
2032,4,1.93
2032,5,2.63
2032,6,2.47
2032,7,2.65
2032,8,2.3
2032,9,2.22
2032,10,2.8
2032,11,1.94
2032,12,2.02
2033,1,1.83
2033,2,1.71
2033,3,1.77
2033,4,2.21
2033,5,1.91
2033,6,1.85
2033,7,2.68
2033,8,3.35
2033,9,3.08
2033,10,2.35
2033,11,3.2
2033,12,2.52
2034,1,2.78
2034,2,2.1
2034,3,1.65
2034,4,1.04
2034,5,1.97
2034,6,2.21
2034,7,4.26
2034,8,4.77
2034,9,3.41
2034,10,2.87
2034,11,2.98
2034,12,3.04
2035,1,2.83
2035,2,2.43
2035,3,2.58
2035,4,1.59
2035,5,1.97
2035,6,2.48
2035,7,2.68
2035,8,2.5
2035,9,2.33
2035,10,2.45
2035,11,-0.6
2035,12,-0.73
2036,1,-0.74
2036,2,-1.08
2036,3,-0.92
2036,4,-1.06
2036,5,-0.81
2036,6,-0.72
2036,7,-1.31
2036,8,-1.28
2036,9,-1.48
2036,10,0.41
2036,11,0.57
2036,12,0.84
2037,1,0.57
2037,2,1.74
2037,3,-0.49
2037,4,-0.86
2037,5,-1.86
2037,6,-1.77
2037,7,-1.3
2037,8,-1.86
2037,9,1.45
2037,10,-0.86
2037,11,0.12
2037,12,0.18
2038,1,1.38
2038,2,0.86
2038,3,0.69
2038,4,1.31
2038,5,-0.74
2038,6,-1.11
2038,7,-2.18
2038,8,-1.43
2038,9,-1.54
2038,10,-1.65
2038,11,-1.78
2038,12,-2.16
2039,1,-2.45
2039,2,-2.48
2039,3,-2.71
2039,4,-3.75
2039,5,-4.4
2039,6,-4.78
2039,7,0.55
2039,8,2.16
2039,9,1.95
2039,10,1.66
2039,11,2.24
2039,12,-0.14
2040,1,-0.24
2040,2,-0.34
2040,3,-0.78
2040,4,-0.72
2040,5,-0.99
2040,6,-1.17
2040,7,-1.19
2040,8,1.02
2040,9,1.64
2040,10,1.12
2040,11,1.14
2040,12,1.63
2041,1,2
2041,2,1.87
2041,3,-0.26
2041,4,-0.37
2041,5,-1.17
2041,6,-1.42
2041,7,-2
2041,8,0.47
2041,9,0.83
2041,10,2.03
2041,11,-0.64
2041,12,-0.59
2042,1,-0.79
2042,2,-0.8
2042,3,0.51
2042,4,-0.37
2042,5,0.08
2042,6,2.12
2042,7,2.38
2042,8,3.24
2042,9,3.38
2042,10,-0.78
2042,11,-1.42
2042,12,-1.97
2043,1,-2.67
2043,2,-2.71
2043,3,-1.88
2043,4,-2.35
2043,5,-2.43
2043,6,-2.41
2043,7,-1.81
2043,8,-2.23
2043,9,0.4
2043,10,-0.34
2043,11,-0.45
2043,12,-0.51
2044,1,1.06
2044,2,0.69
2044,3,1.16
2044,4,1.42
2044,5,-0.22
2044,6,-0.75
2044,7,-1.23
2044,8,0.62
2044,9,0.99
2044,10,-0.64
2044,11,-0.71
2044,12,-1.21
2045,1,-1.23
2045,2,-1.27
2045,3,-1.57
2045,4,1
2045,5,2.01
2045,6,2.16
2045,7,2.2
2045,8,-0.12
2045,9,-1.28
2045,10,-1.36
2045,11,0.78
2045,12,0.84
2046,1,0.92
2046,2,-0.16
2046,3,-0.62
2046,4,-0.62
2046,5,-0.71
2046,6,0.64
2046,7,-0.04
2046,8,-0.22
2046,9,-0.77
2046,10,0.6
2046,11,-0.03
2046,12,-0.05
2047,1,-0.11
2047,2,-0.17
2047,3,0.04
2047,4,0.14
2047,5,-0.59
2047,6,2.17
2047,7,2.81
2047,8,3.13
2047,9,2.5
2047,10,2.23
2047,11,1.49
2047,12,1.04
2048,1,1.32
2048,2,1.18
2048,3,2.23
2048,4,-0.39
2048,5,-0.8
2048,6,0.33
2048,7,0.86
2048,8,-0.56
2048,9,-0.86
2048,10,-1.09
2048,11,-0.83
2048,12,-0.74
2049,1,-0.55
2049,2,-0.94
2049,3,-1.08
2049,4,-1.47
2049,5,-1.78
2049,6,-1.78
2049,7,-1.84
2049,8,-1.87
2049,9,0.47
2049,10,0.61
2049,11,-0.1
2049,12,-0.29
2050,1,-0.2
2050,2,-0.09
2050,3,-0.52
2050,4,0.72
2050,5,-0.23
2050,6,-0.77
2050,7,-1.38
2050,8,0.03
2050,9,1.43
2050,10,1.29
2050,11,1.33
2050,12,-0.03
2051,1,-0.18
2051,2,-0.61
2051,3,-0.98
2051,4,0.77
2051,5,1.8
2051,6,1.38
2051,7,1.82
2051,8,1.46
2051,9,2.14
2051,10,2.56
2051,11,2.58
2051,12,2.27
2052,1,2.14
2052,2,2.66
2052,3,2.56
2052,4,-0.43
2052,5,-0.88
2052,6,-2.34
2052,7,0.75
2052,8,1.65
2052,9,4.01
2052,10,3.52
2052,11,4.32
2052,12,4.3
2053,1,3.63
2053,2,3.21
2053,3,2.49
2053,4,3.36
2053,5,-0.97
2053,6,-1.1
2053,7,-2.24
2053,8,-2.3
2053,9,-2.58
2053,10,0.06
2053,11,0.62
2053,12,1.06
2054,1,-0.31
2054,2,-0.48
2054,3,-0.57
2054,4,-0.47
2054,5,-0.64
2054,6,1.06
2054,7,2.32
2054,8,3.47
2054,9,3.08
2054,10,3.33
2054,11,3.24
2054,12,3.13
2055,1,2.5
2055,2,1.98
2055,3,2.77
2055,4,3.29
2055,5,-0.96
2055,6,-0.94
2055,7,-1.25
2055,8,-2.23
2055,9,-0.78
2055,10,-1.04
2055,11,-1.72
2055,12,-1.9
2056,1,-1.59
2056,2,-1.64
2056,3,-1.77
2056,4,-1.25
2056,5,-1.66
2056,6,-2.31
2056,7,0.16
2056,8,0.65
2056,9,-0.77
2056,10,1.09
2056,11,0.99
2056,12,1.94
2057,1,1.57
2057,2,1.05
2057,3,1.25
2057,4,1.54
2057,5,2.03
2057,6,2.76
2057,7,2.44
2057,8,2.78
2057,9,-0.35
2057,10,-1
2057,11,-1.05
2057,12,-1.07
2058,1,-1.09
2058,2,-1.11
2058,3,-0.9
2058,4,-1.57
2058,5,-1.58
2058,6,-0.78
2058,7,-0.73
2058,8,-1
2058,9,-0.86
2058,10,-0.73
2058,11,-1.43
2058,12,-2.17
2059,1,-2.34
2059,2,-2.63
2059,3,-1.57
2059,4,-0.91
2059,5,-0.75
2059,6,-1.27
2059,7,-2.25
2059,8,-2.86
2059,9,-3.42
2059,10,0.01
2059,11,0.38
2059,12,0.39
2060,1,1.01
2060,2,0.8
2060,3,0.54
2060,4,0.56
2060,5,1.02
2060,6,1.03
2060,7,1.23
2060,8,-0.52
2060,9,-0.6
2060,10,-0.84
2060,11,0.35
